DATAFLOW,LAST UPDATE,freq,indic_cr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2008,4916,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2009,4667,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2010,4657,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2011,4659,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2012,4618,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2013,4998,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2014,5689,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2015,5981,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2016,6031,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2017,5674,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2018,5316,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2019,5045,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2020,4614,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2021,4956,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Albania,2022,5060,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2008,8248,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2009,8708,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2010,8540,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2011,8770,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2012,8805,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2013,8862,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2014,8692,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2015,8665,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2016,8619,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2017,8852,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2018,9163,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2019,9072,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2020,8488,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2021,8436,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Austria,2022,8993,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2010,2743,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2011,2757,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2013,2898,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2014,2825,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2015,2730,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2016,2832,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2017,2820,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2018,4377,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2019,4482,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2020,4097,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2021,4108,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bosnia and Herzegovina,2022,4081,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2008,9811,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2009,10126,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2010,10526,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2011,11040,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2012,11183,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2013,11818,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2015,10994,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2017,10471,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2018,10261,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2019,10794,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2020,10357,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2021,10769,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Belgium,2022,11050,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bulgaria,2008,9408,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bulgaria,2009,9006,
ESTAT:CRIM_PRIS_CAP(1.0),23/04/24 23:00:00,Annual,Actual number of persons held in prison,Number,Bulgaria,2010,9379,
